"","study","es_id","yi",".g","precalc_g","vi","sei","wf_1","wf_2","wf_3","wf_4","wf_5","wf_6","wf_7","wf_8","sample_size","...1","notes","condition_arm1","condition_arm2","descr_arm1","descr_arm2","multi_arm1","multi_arm2","...10","...11","primary_calc","outcome_type","outcome_domain","time","time_weeks","instrument","rating","sample","mean_arm1","mean_arm2","sd_arm1","sd_arm2","n_arm1","n_arm2","baseline_m_arm1","baseline_sd_arm1","baseline_n_arm1","baseline_m_arm2","baseline_sd_arm2","baseline_n_arm2","dich","dich_type","event_arm1","event_arm2","totaln_arm1","totaln_arm2","change","mean_change_arm1","mean_change_arm2","sd_change_arm1","sd_change_arm2","n_change_arm1","n_change_arm2","other_statistic","precalc_g_se","rand_arm1","rand_arm2","n_drop_study1","n_drop_study2","year","comorbid_me0tal","format","format_spec","program_arm1","support","initial_screening","forum","n_sessions_planned","X0_sessio0s_received","country","income_level","age_group","mean_age","percent_women","recruitment","diagnosis","target_group","...70","sg","ac","ba","itt","rob","other_target","Reference","Domain1_rob2","Domain2_rob2","Domain3_rob2","Domain4_rob2","Domain5_rob2","Totalscore_rob2","self.guided.checked","time_weeks_num",".id",".g_se",".log_rr",".log_rr_se",".event_arm1",".event_arm2",".totaln_arm1",".totaln_arm2"
"62","Ebert, 2018",62,0.345914865153444,-0.345914865153444,NA,0.0199033130472994,0.14107910209276,"website","human encouragement","adul","not-cbt-based","wl","cut","some concerns","post",204,NA,NA,"other psy","wl","get on","ecau",NA,NA,NA,NA,1,"msd","depression","post",7,"hdrs-24","clinician",1,9.6,11.59,5.6,5.86,102,102,"13.72","6.21",102,"14.62","6.81",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,102,"25","10",2018,0,"ush",2,"GET.On Mood Enhancer",4,1,0,"6","5","eu","high","adul","44.2","0.80400000000000005","com","sub","adul",NA,"1","1","1","1",4,NA,"Ebert, D. D., Buntrock, C., Lehr, D., Smit, F., Riper, H., Baumeister, H., Cuijpers, P., & Berking, M. (2018). Effectiveness of Web- and Mobile-Based Treatment of Subthreshold Depression With Adherence-Focused Guidance: A Single-Blind Randomized Controlled Trial. Behav Ther, 49(1), 71-83. https://www.sciencedirect.com/science/article/pii/S000578941730059X?via%3Dihub","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,7,"Ebert_2018_msd_hdrs-24_post_7_clinician_otherpsy_wl_NA_NA",0.14107910209276,NA,NA,NA,NA,NA,NA
"63","Ebert, 2018",63,0.838337083212667,-0.838337083212667,NA,0.0213432933676841,0.146093440536131,"website","human encouragement","adul","not-cbt-based","wl","cut","some concerns","post",204,NA,NA,"other psy","wl","get on","ecau",NA,NA,NA,NA,1,"msd","depression","post",7,"ces-d","self-report",1,17.79,24.06,7.03,7.85,102,102,"26.67","6.5",102,"27.73","7.5",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,102,"21","5",2018,0,"ush",2,"GET.On Mood Enhancer",4,1,0,"6","5","eu","high","adul","44.2","0.80400000000000005","com","sub","adul",NA,"1","1","sr","1",4,NA,"Ebert, D. D., Buntrock, C., Lehr, D., Smit, F., Riper, H., Baumeister, H., Cuijpers, P., & Berking, M. (2018). Effectiveness of Web- and Mobile-Based Treatment of Subthreshold Depression With Adherence-Focused Guidance: A Single-Blind Randomized Controlled Trial. Behav Ther, 49(1), 71-83. https://www.sciencedirect.com/science/article/pii/S000578941730059X?via%3Dihub","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,7,"Ebert_2018_msd_ces-d_post_7_self-report_otherpsy_wl_NA_NA",0.146093440536131,NA,NA,NA,NA,NA,NA
"64","Flygare, 2020",64,0.23062380727099,-0.23062380727099,NA,0.0423944451838055,0.205899114091842,"website","guided","adul","cbt-based","other ctr","cut","some concerns","post",95,"1","computer-based accessed from home","cbt","other ctr",NA,NA,NA,NA,NA,NA,1,"msd","depression","post",8,"madrs-s","self-report",1,14.5,16.5,8.3,8.9,48,47,"23.2","4.2",48,"22.9","4.0999999999999996",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,47,"8","12",2020,0,"gsh",2,"icbt",5,1,0,"8","5.9","eu","high","adul","42.9","79.2","com","cut","adul",NA,"1","1","sr","1",4,NA,"Flygare AL, Engström I, Hasselgren M, et al. Internet-based CBT for patients with depressive disorders in primary and psychiatric care: Is it effective and does comorbidity affect outcome? Internet Interventions. 2020;19.","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns",NA,8,"Flygare_2020_msd_madrs-s_post_8_self-report_cbt_otherctr_NA_NA",0.205899114091842,NA,NA,NA,NA,NA,NA
"65","Flygare, 2020",65,0.263590860237796,-0.263590860237796,NA,0.0424816005911911,0.206110651328822,"website","guided","adul","cbt-based","other ctr","cut","some concerns","follow-up",95,NA,NA,"cbt","other ctr",NA,NA,NA,NA,NA,NA,1,"msd","depression","fu1",24,"madrs-s","self-report",1,12.3,14.4,7.6,8.2,48,47,"23.2","4.2",48,"22.9","4.0999999999999996",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,47,"12","18",2020,0,"gsh",2,"icbt",5,1,0,"8","5.9","eu","high","adul","42.9","79.2","com","cut","adul",NA,"1","1","sr","1",4,NA,"Flygare AL, Engström I, Hasselgren M, et al. Internet-based CBT for patients with depressive disorders in primary and psychiatric care: Is it effective and does comorbidity affect outcome? Internet Interventions. 2020;19.","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns",NA,24,"Flygare_2020_msd_madrs-s_fu1_24_self-report_cbt_otherctr_NA_NA",0.206110651328822,NA,NA,NA,NA,NA,NA
"66","Flygare, 2020",66,0.129348929760245,-0.129348929760245,NA,0.042199429330464,0.205424996849127,"website","guided","adul","cbt-based","other ctr","cut","some concerns","follow-up",95,NA,NA,"cbt","other ctr",NA,NA,NA,NA,NA,NA,1,"msd","depression","fu2",52,"madrs-s","self-report",1,12.9,14.3,9.7,11.7,48,47,"23.2","4.2",48,"22.9","4.0999999999999996",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,47,"9","23",2020,0,"gsh",2,"icbt",5,1,0,"8","5.9","eu","high","adul","42.9","79.2","com","cut","adul",NA,"1","1","sr","1",4,NA,"Flygare AL, Engström I, Hasselgren M, et al. Internet-based CBT for patients with depressive disorders in primary and psychiatric care: Is it effective and does comorbidity affect outcome? Internet Interventions. 2020;19.","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns",NA,52,"Flygare_2020_msd_madrs-s_fu2_52_self-report_cbt_otherctr_NA_NA",0.205424996849127,NA,NA,NA,NA,NA,NA
"67","Flygare, 2020",67,0.227916624481386,-0.227916624481386,NA,0.042387804790594,0.205882988103908,"website","guided","adul","cbt-based","other ctr","cut","some concerns","post",95,NA,NA,"cbt","other ctr",NA,NA,NA,NA,NA,NA,1,"msd","depression","post",8,"bdi-2","self-report",1,18.5,21.2,11.8,11.7,48,47,"29.5","7.6",48,"27","7.5",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,47,"8","12",2020,0,"gsh",2,"icbt",5,1,0,"8","5.9","eu","high","adul","42.9","79.2","com","cut","adul",NA,"1","1","sr","1",4,NA,"Flygare AL, Engström I, Hasselgren M, et al. Internet-based CBT for patients with depressive disorders in primary and psychiatric care: Is it effective and does comorbidity affect outcome? Internet Interventions. 2020;19.","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns",NA,8,"Flygare_2020_msd_bdi-2_post_8_self-report_cbt_otherctr_NA_NA",0.205882988103908,NA,NA,NA,NA,NA,NA
"68","Flygare, 2020",68,0.176118090262898,-0.176118090262898,NA,0.0422758520491903,0.205610923953934,"website","guided","adul","cbt-based","other ctr","cut","some concerns","follow-up",95,NA,NA,"cbt","other ctr",NA,NA,NA,NA,NA,NA,1,"msd","depression","fu1",24,"bdi-2","self-report",1,14.7,16.6,10.4,11,48,47,"29.5","7.6",48,"27","7.5",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,47,"12","18",2020,0,"gsh",2,"icbt",5,1,0,"8","5.9","eu","high","adul","42.9","79.2","com","cut","adul",NA,"1","1","sr","1",4,NA,"Flygare AL, Engström I, Hasselgren M, et al. Internet-based CBT for patients with depressive disorders in primary and psychiatric care: Is it effective and does comorbidity affect outcome? Internet Interventions. 2020;19.","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns",NA,24,"Flygare_2020_msd_bdi-2_fu1_24_self-report_cbt_otherctr_NA_NA",0.205610923953934,NA,NA,NA,NA,NA,NA
"69","Flygare, 2020",69,0.0776439860614737,-0.0776439860614737,NA,0.0421421779276145,0.205285600877447,"website","guided","adul","cbt-based","other ctr","cut","some concerns","follow-up",95,NA,NA,"cbt","other ctr",NA,NA,NA,NA,NA,NA,1,"msd","depression","fu2",52,"bdi-2","self-report",1,15.3,16.3,11.8,13.7,48,47,"29.5","7.6",48,"27","7.5",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,47,"9","23",2020,0,"gsh",2,"icbt",5,1,0,"8","5.9","eu","high","adul","42.9","79.2","com","cut","adul",NA,"1","1","sr","1",4,NA,"Flygare AL, Engström I, Hasselgren M, et al. Internet-based CBT for patients with depressive disorders in primary and psychiatric care: Is it effective and does comorbidity affect outcome? Internet Interventions. 2020;19.","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns",NA,52,"Flygare_2020_msd_bdi-2_fu2_52_self-report_cbt_otherctr_NA_NA",0.205285600877447,NA,NA,NA,NA,NA,NA
"70","Fonseca, 2020",70,-0.00939110454932886,0.00939110454932886,NA,0.020620977389058,0.143600060546847,"website","minimal to no support","ppd","cbt-based","wl","cut","some concerns","post",194,"1",NA,"cbt","wl","BeaMom",NA,NA,NA,NA,NA,1,"msd","depression","post",8,"epds","self-report",1,6.91,6.87,4.45,4.01999999999999,98,96,"9.32","5.05",98,"8.1","4.51",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,96,"33","14",2020,0,"ush",2,"BeaMom",1,1,0,"5","NA","eu","high","adul","32.58","1","com","cut","ppd",NA,"1",NA,"sr","1",4,NA,"Fonseca, A., Alves, S., Monteiro, F., Gorayeb, R., & Canavarro, M. C. (2020). Be a Mom, a Web-Based Intervention to Prevent Postpartum Depression: Results From a Pilot Randomized Controlled Trial. Behav Ther, 51(4), 616-633. https://doi.org/10.1016/j.beth.2019.09.007","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,8,"Fonseca_2020_msd_epds_post_8_self-report_cbt_wl_NA_NA",0.143600060546847,NA,NA,NA,NA,NA,NA
"71","Forand, 2018",71,1.59436508575297,-1.59436508575297,NA,0.0648135564784708,0.254585067273143,"both","guided","adul","cbt-based","wl","cut","high risk","post",89,"1",NA,"cbt","wl",NA,NA,NA,NA,NA,NA,1,"msd","depression","post",8,"phq-9","self-report",1,6.45,14.75,4.2,6.68,59,30,"16.55","3.99",59,"18.22","4.84",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,30,"18","4",2018,0,"gsh",3,"Beating the blues",5,1,0,"8","6.22","us","high","adul","33","0.75","com","cut","adul",NA,"1","0","sr","1",3,NA,"Forand NR, Barnett JG, Strunk DR, Hindiyeh MU, Feinberg JE, Keefe JR. Efficacy of Guided iCBT for Depression and Mediation of Change by Cognitive Skill Acquisition. Behavior Therapy 2018; 49(2): 295-307.","Some concerns","Low risk","Some concerns","high risk","Low risk","high risk",NA,8,"Forand_2018_msd_phq-9_post_8_self-report_cbt_wl_NA_NA",0.254585067273143,NA,NA,NA,NA,NA,NA
"72","Forand, 2018",72,1.55370200300583,-1.55370200300583,NA,0.0763894895544263,0.27638648583899,"both","guided","adul","cbt-based","wl","cut","high risk","post",72,NA,NA,"cbt","wl",NA,NA,NA,NA,NA,NA,1,"msd","depression","post",8,"hdrs","clinician",0,9.2,18.56,5.28,6.96,45,27,"20.9","5.2",59,"21.57","5.23",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,30,"18","4",2018,0,"gsh",3,"Beating the blues",5,1,0,"8","6.22","us","high","adul","33","0.75","com","cut","adul",NA,"1","0","0","1",2,NA,"Forand NR, Barnett JG, Strunk DR, Hindiyeh MU, Feinberg JE, Keefe JR. Efficacy of Guided iCBT for Depression and Mediation of Change by Cognitive Skill Acquisition. Behavior Therapy 2018; 49(2): 295-307.","Some concerns","Low risk","Some concerns","high risk","Low risk","high risk",NA,8,"Forand_2018_msd_hdrs_post_8_clinician_cbt_wl_NA_NA",0.27638648583899,NA,NA,NA,NA,NA,NA
"73","Forsell, 2017",73,1.21098566939137,-1.21098566939137,NA,0.122767249107109,0.350381576437902,"website","guided","ppd","cbt-based","cau","mdd","some concerns","post",39,"1",NA,"cbt","cau",NA,NA,NA,NA,NA,NA,1,"msd","depression","post",10,"madrs-s","self-report",0,14.3,21.1,4.6,6.4,21,18,"24.2","5.2",22,"24.4","5.9",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,20,"1","2",2017,0,"gsh",2,"icbt",5,1,0,"10","5.3","eu","high","adul","31.01","1","com","mdd","ppd",NA,"1","1","sr","1",4,NA,"Forsell E, Bendix M, Holländare F, et al. Internet delivered cognitive behavior therapy for antenatal depression: A randomised controlled trial. Journal of Affective Disorders 2017; 221: 56-64.","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,10,"Forsell_2017_msd_madrs-s_post_10_self-report_cbt_cau_NA_NA",0.350381576437902,NA,NA,NA,NA,NA,NA
"74","Forsell, 2017",74,0.518820861678004,-0.518820861678004,NA,0.115365516059628,0.33965499563473,"website","guided","ppd","cbt-based","cau","mdd","some concerns","post",36,NA,NA,"cbt","cau",NA,NA,NA,NA,NA,NA,1,"msd","depression","post",10,"epds","self-report",0,12.4,15,4.9,4.9,19,17,"16.3","3.9",22,"18.5","4.5",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,20,"3","3",2017,0,"gsh",2,"icbt",5,1,0,"10","5.3","eu","high","adul","31.01","1","com","mdd","ppd",NA,"1","1","sr","1",4,NA,"Forsell E, Bendix M, Holländare F, et al. Internet delivered cognitive behavior therapy for antenatal depression: A randomised controlled trial. Journal of Affective Disorders 2017; 221: 56-64.","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns",NA,10,"Forsell_2017_msd_epds_post_10_self-report_cbt_cau_NA_NA",0.33965499563473,NA,NA,NA,NA,NA,NA
"75","Gaudiano, 2020",75,-0.580288167580712,0.580288167580712,NA,0.104632177929099,0.323468975218798,"website","minimal to no support","adul","cbt-based","other ctr","mdd","high risk","post",40,"1",NA,"3rd","other ctr","act","attention-control(healthy eating habits)",NA,NA,NA,NA,1,"msd","depression","post",4,"qids-c","clinician",1,10.1999999999999,8,3.9,3.5,21,19,"15","2",21,"15","2.5",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,19,"1","2",2020,0,"ush",2,"LifeStories",0,1,0,"4","3.43","us","high","adul","47.8","0.9","com","mdd","adul",NA,"1","1","0","1",3,NA,"Gaudiano, B. A., Davis, C. H., Miller, I. W., & Uebelacker, L. (2020). Pilot randomized controlled trial of a video self-help intervention for depression based on acceptance and commitment therapy: Feasibility and acceptability [Article]. Clinical psychology & psychotherapy, 27(3), 396-407. https://doi.org/10.1002/cpp.2436","Low risk","Low risk","Some concerns","high risk","Some concerns","high risk",NA,4,"Gaudiano_2020_msd_qids-c_post_4_clinician_3rd_otherctr_NA_NA",0.323468975218798,NA,NA,NA,NA,NA,NA
"76","Geraedts, 2014",76,0.252161452414603,-0.252161452414603,NA,0.0174548795154616,0.132116916083678,"website","guided","other group","cbt-based","cau","cut","some concerns","post",231,"1",NA,"cbt","cau",NA,NA,NA,NA,NA,NA,1,"msd","depression","post",8,"ces-d","self-report",1,15.8,18.3,10.6,9.1,116,115,"25.7","7.5",116,"26.1","7",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,115,"42","19",2014,0,"gsh",2,"Happy@Work",5,1,0,"6","NA","eu","high","adul","43.4","0.62","oth","cut","oth",NA,"1","1","sr","1",4,"employees","Geraedts AS, Kleiboer AM, Wiezer NM, van Mechelen W, Cuijpers P. Short-term effects of a web-based guided self-help intervention for employees with depressive symptoms: Randomized controlled trial. Journal of Medical Internet Research. 2014;16(5):e121.","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns",NA,8,"Geraedts_2014_msd_ces-d_post_8_self-report_cbt_cau_NA_NA",0.132116916083678,NA,NA,NA,NA,NA,NA
"77","Ghosh, 2021",77,0.900248490759356,-0.900248490759356,NA,0.152856082099775,0.390968134378974,"website","minimal to no support","adul","cbt-based","wl","cut","high risk","post",NA,"1",NA,"cbt","wl",NA,NA,"plain text cbt","wl",NA,NA,1,"change","depression","post",6,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,"10.81","3.44",189,"10.42","3.87",205,NA,NA,NA,NA,NA,NA,"PHQ-9",-5.14,-1.12,6.03,4.36,7,139,NA,NA,189,205,"182","66",2021,0,"ush",2,"plain-text version",1,0,0,"6","NA","oth","lower middle","yadul","23.56","0.20069999999999999","com","cut","adul",NA,"1","1","sr","0",3,NA,"Ghosh, A., Cherian, R. J., Wagle, S., Sharma, P., Kannan, K. R., Bajpai, A., & Gupta, N. (2021). TreadWill: Development and pragmatic randomized controlled trial of an unguided, computerized cognitive behavioral therapy intervention in a lower middle-income country. In.","Low risk","High risk","High risk","Low risk","Some concerns","High risk",NA,6,"Ghosh_2021_change_phq-9_post_6_self-report_cbt_wl_plaintextcbt_wl",0.390968134378974,NA,NA,NA,NA,NA,NA
"78","Ghosh, 2021",78,0.34809624806987,-0.34809624806987,NA,0.0530286785240004,0.230279566014878,"website","automated encouragement","adul","cbt-based","wl","cut","high risk","post",NA,NA,NA,"cbt","wl",NA,NA,"treadWill (cbt)","wl",NA,NA,1,"change","depression","post",6,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,"10.76","3.71",204,"10.42","3.87",205,NA,NA,NA,NA,NA,NA,"PHQ-9",-2.73,-1.12,5.96,4.36,22,139,NA,NA,204,205,"182","66",2021,0,"ush",2,"TreadWill",2,0,1,"6","NA","oth","lower middle","yadul","23.56","0.20069999999999999","com","cut","adul",NA,"1","1","sr","0",3,NA,"Ghosh, A., Cherian, R. J., Wagle, S., Sharma, P., Kannan, K. R., Bajpai, A., & Gupta, N. (2021). TreadWill: Development and pragmatic randomized controlled trial of an unguided, computerized cognitive behavioral therapy intervention in a lower middle-income country. In.","Low risk","High risk","High risk","Low risk","Some concerns","High risk",NA,6,"Ghosh_2021_change_phq-9_post_6_self-report_cbt_wl_treadWill(cbt)_wl",0.230279566014878,NA,NA,NA,NA,NA,NA
"79","Gilbody, 2015",79,-0.0733015311130425,0.0733015311130425,NA,0.0112937623490935,0.106272114635466,"website","human encouragement","adul","cbt-based","cau","cut","high risk","post",NA,"1",NA,"cbt","cau","Beating the Blues +GP",NA,"Beating the Blues +GP",NA,NA,NA,1,"remission","depression","post",16,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,"16.78","4.21",210,"16.32","4.5199999999999898",239,"remission","remission based on cut-off PHQ-9 <10",82,101,210,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,239,"45","60",2015,0,"ush",2,"Beating the blues",4,1,0,"8","NA","uk","high","adul","39.86","0.67","clin","cut","adul",NA,"1","1","sr","1",4,NA,"Gilbody, S. Computerised cognitive behaviour therapy (cCBT) as treatment for depression in primary care (REEACT trial): large scale pragmatic randomised controlled trial. Bmj, 352, i195.","Low risk","Low risk","Low risk","Low risk","High risk","High risk",NA,16,"Gilbody_2015_remission_phq-9_post_16_self-report_cbt_cau_BeatingtheBlues+GP_NA",0.106272114635466,-0.0790452483629643,0.114673915385822,82,101,210,239
"80","Gilbody, 2015",80,-0.0876415698218126,0.0876415698218126,NA,0.0105206236457056,0.10257009138002,"website","human encouragement","adul","cbt-based","cau","cut","high risk","post",NA,NA,NA,"cbt","cau","MoodGym+GP",NA,"MoodGym+GP",NA,NA,NA,1,"remission","depression","post",16,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,"16.78","4.21",210,"16.32","4.5199999999999898",239,"remission","remission based on cut-off PHQ-9 <10",93,101,242,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,239,"60","60",2015,0,"ush",2,"moodgym",4,1,0,"5","NA","uk","high","adul","39.86","0.67","clin","cut","adul",NA,"1","1","sr","1",4,NA,"Gilbody, S. Computerised cognitive behaviour therapy (cCBT) as treatment for depression in primary care (REEACT trial): large scale pragmatic randomised controlled trial. Bmj, 352, i195.","Low risk","Low risk","Low risk","Low risk","High risk","High risk",NA,16,"Gilbody_2015_remission_phq-9_post_16_self-report_cbt_cau_MoodGym+GP_NA",0.10257009138002,-0.0949951979131792,0.111073608241041,93,101,242,239
"81","Gilbody, 2015",81,0.104845669737362,-0.104845669737362,NA,0.0163444374016983,0.127845365194435,"website","human encouragement","adul","cbt-based","cau","cut","high risk","follow-up",NA,NA,NA,"cbt","cau","Beating the Blues +GP",NA,"Beating the Blues +GP",NA,NA,NA,1,"remission","depression","fu1",48,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,"16.78","4.21",210,"16.32","4.5199999999999898",239,"remission","remission based on cut-off PHQ-9 <10",99,100,153,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,239,"57","73",2015,0,"ush",2,"Beating the blues",4,1,0,"8","NA","uk","high","adul","39.86","0.67","clin","cut","adul",NA,"1","1","sr","1",4,NA,"Gilbody, S. Computerised cognitive behaviour therapy (cCBT) as treatment for depression in primary care (REEACT trial): large scale pragmatic randomised controlled trial. Bmj, 352, i195.","Low risk","Low risk","Low risk","Low risk","High risk","High risk",NA,48,"Gilbody_2015_remission_phq-9_fu1_48_self-report_cbt_cau_BeatingtheBlues+GP_NA",0.127845365194435,0.0714995311106062,0.0868387356140659,99,100,153,166
"82","Gilbody, 2015",82,0.229596204662826,-0.229596204662826,NA,0.0163675761875982,0.127935828396889,"website","human encouragement","adul","cbt-based","cau","cut","high risk","follow-up",NA,NA,NA,"cbt","cau","MoodGym+GP",NA,"MoodGym+GP",NA,NA,NA,1,"remission","depression","fu1",48,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,"16.78","4.21",210,"16.32","4.5199999999999898",239,"remission","remission based on cut-off PHQ-9 <10",115,100,165,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,239,"77","73",2015,0,"ush",2,"moodgym",4,1,0,"5","NA","uk","high","adul","39.86","0.67","clin","cut","adul",NA,"1","1","sr","1",4,NA,"Gilbody, S. Computerised cognitive behaviour therapy (cCBT) as treatment for depression in primary care (REEACT trial): large scale pragmatic randomised controlled trial. Bmj, 352, i195.","Low risk","Low risk","Low risk","Low risk","High risk","High risk",NA,48,"Gilbody_2015_remission_phq-9_fu1_48_self-report_cbt_cau_MoodGym+GP_NA",0.127935828396889,0.145804256831121,0.0813077470341222,115,100,165,166
"83","Gilbody, 2015",83,-0.0766298970447633,0.0766298970447633,NA,0.0168449245255769,0.129787998388052,"website","human encouragement","adul","cbt-based","cau","cut","high risk","follow-up",NA,NA,NA,"cbt","cau","Beating the Blues +GP",NA,"Beating the Blues +GP",NA,NA,NA,1,"remission","depression","fu2",96,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,"16.78","4.21",210,"16.32","4.5199999999999898",239,"remission","remission based on cut-off PHQ-9 <10",83,97,143,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,239,"67","81",2015,0,"ush",2,"Beating the blues",4,1,0,"8","NA","uk","high","adul","39.86","0.67","clin","cut","adul",NA,"1","1","sr","1",4,NA,"Gilbody, S. Computerised cognitive behaviour therapy (cCBT) as treatment for depression in primary care (REEACT trial): large scale pragmatic randomised controlled trial. Bmj, 352, i195.","Low risk","Low risk","Low risk","Low risk","High risk","High risk",NA,96,"Gilbody_2015_remission_phq-9_fu2_96_self-report_cbt_cau_BeatingtheBlues+GP_NA",0.129787998388052,-0.0561199679397254,0.095054459151279,83,97,143,158
"84","Gilbody, 2015",84,0.100538060354447,-0.100538060354447,NA,0.0165381548645725,0.128600757636075,"website","human encouragement","adul","cbt-based","cau","cut","high risk","follow-up",NA,NA,NA,"cbt","cau","MoodGym+GP",NA,"MoodGym+GP",NA,NA,NA,1,"remission","depression","fu2",96,"phq-9","self-report",0,NA,NA,NA,NA,NA,NA,"16.78","4.21",210,"16.32","4.5199999999999898",239,"remission","remission based on cut-off PHQ-9 <10",105,97,160,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,239,"82","81",2015,0,"ush",2,"moodgym",4,1,0,"5","NA","uk","high","adul","39.86","0.67","clin","cut","adul",NA,"1","1","sr","1",4,NA,"Gilbody, S. Computerised cognitive behaviour therapy (cCBT) as treatment for depression in primary care (REEACT trial): large scale pragmatic randomised controlled trial. Bmj, 352, i195.","Low risk","Low risk","Low risk","Low risk","High risk","High risk",NA,96,"Gilbody_2015_remission_phq-9_fu2_96_self-report_cbt_cau_MoodGym+GP_NA",0.128600757636075,0.0666705894472804,0.0851702644722579,105,97,160,158
"85","Gili, 2020",85,0.23,-0.23,-0.23,0.0361,0.19,"website","automated encouragement","adul","not-cbt-based","cau","mood","some concerns","post",NA,"1",NA,"other psy","cau","positive psychology",NA,NA,NA,NA,NA,1,"other stat","depression","post",NA,"phq-9","self-report",1,NA,NA,NA,NA,NA,NA,"12.63","2.02999999999999",56,"12.64","2.1",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"p=0.23, beta(95%)=-1,46(-3,81 to 0,89), g=0,23",0.19,56,57,"26","36",2020,0,"ush",2,"iPAPP",2,1,0,"4","NA","eu","high","adul","45.29","0.77829999999999999","clin","mood","adul",NA,"1","1","sr","1",4,NA,"Gili, M., Castro, A., García-Palacios, A., Garcia-Campayo, J., Mayoral-Cleries, F., Botella, C., Roca, M., Barceló-Soler, A., Hurtado, M. M., Navarro, M., Villena, A., Pérez-Ara, M., Riera-Serra, P., & Baños, R. M. Efficacy of Three Low-Intensity, Internet-Based Psychological Interventions for the Treatment of Depression in Primary Care: Randomized Controlled Trial. J Med Internet Res, 22(6), e15845.","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns",NA,NA,"Gili_2020_otherstat_phq-9_post_NA_self-report_otherpsy_cau_NA_NA",0.19,NA,NA,NA,NA,NA,NA
